Participant_Word,1=Solved,Guesses
P01_ARDIEM,0,
P01_IUJONR,1,
P01_KUMEPA,0,
P01_LEADFW,1,
P01_MDTOSE,0,
P01_PNEUTA,1,
P01_RYEABT,1,battery
P01_SCODLE,1,
P02_AFDWLE,1,flee
P02_CEOLDS,0,
P02_IAMEDR,0,
P02_NOJUIR,0,
P03_CSOELD,1,
P03_JIUORN,0,
P03_RAIMED,1,
P03_WFEADL,0,
P03_YRBATE,0,
P04_ATEYRB,0,
P04_DIEMAR,0,
P04_ELCSDO,0,
P04_INOJRU,0,
P04_LAEFDW,0,
P04_TNPUAE,0,
P05_DEMIAR,0,"remied, married"
P05_DLEFAW,1,
P05_OESLDC,1,
P06_ABRYET,0,battery
P06_EODLSC,1,
P06_IMEARD,1,
P06_LDFAEW,1,
P06_NOUJIR,0,
P07_AELDWF,0,
P07_LSODCE,1,
P08_FLEADW,0,
P08_IEDRAM,0,
P08_SCOELD,0,
P08_URJNOI,0,
P09_BERYTA,0,virate?
P09_DEMAIR,0,"midear, remaid"
P09_DLEFWA,1,
P09_ECDOSL,1,
P09_RNJIOU,0,injour
P10_ADWFEL,1,
P10_LDOCES,1,
P10_RIAMED,0,
P10_UIOJNR,0,
P11_ECSDOL,0,"scold, cold, sold"
P11_IJNROU,0,"journey, ruin, around"
P11_LWFADE,1,
P11_RAEIDM,0,"dire, remind, miriad"
P12_ADLWEF,0,
P12_CDOELS,0,
P12_DIMEAR,0,
P13_ARMEDI,0,married
P13_AWFELD,1,
P13_OELCSD,1,
P13_OJIURN,1,journey
P14_ARMEDI,0,married
P14_AWFELD,1,
P14_OELCSD,1,
P14_OJIURN,0,
P15_AIRDEM,0,married
P15_IJOUNR,0,
P15_SDOELC,0,scold
P15_WLFEAD,1,
P17_DLEOCS,1,scold
P17_EMRDIA,0,
P17_LWAEFD,1,
P17_NEUTAP,0,
P17_RIUOJN,0,
P17_TABREY,1,battery
P18_ADWFLE,1,
P18_EATRBY,0,
P18_LCSDOE,1,
P18_MRAEID,0,married
P18_URNJOI,0,
P20_DSCLEO,0,"scold, clodes"
P20_EDIRMA,0,dreami
P20_ELWDAF,0,
P20_JIRUNO,1,
P20_TAREYB,0,
P22_DLSEOC,1,
P22_EFADLW,1,
P22_RAIEDM,0,"armied, dreami"
P22_RIJNOU,1,
P22_SOTDEM,0,
P22_TAPUNE,1,
P22_YBTAER,0,
P23_CDOSLE,0,
P23_LEWFAD,0,
P23_MIEDRA,0,
P24_EIADRM,0,
P24_ELDAFW,0,
P24_OCSELD,0,
P25_AFDLWE,1,
P25_ESLDOC,0,scold
P25_MEIADR,0,"dream, miriad"
P25_NRUIOJ,0,"says r or j seems likely starting letter, wants there to be jury or jurisdiction"
P26_EAFWLD,0,
P26_ELDOSC,0,"coldes, codles"
P27_IDEMAR,0,
P27_OECSLD,0,
P27_WFEALD,1,
P28_OLDSCE,0,"scold, sealed?"
P28_WDFEAL,1,
P29_DWLEFA,1,
P29_IMEDRA,1,
P29_JIRNOU,0,
P29_NTEUAP,1,
P29_ODLSCE,1,scold
P29_REABYT,1,
P29_TDMSOE,1,
P05_BWRNO,1,
P05_CLHKA,1,
P05_ROEPW,1,
P05_TORCU,1,
P06_HKCAL,1,
P06_ROTCU,0,
P06_WRPEO,1,reprow
P07_LCAKH,1,black
P07_ONRWB,1,
P07_ORUCT,1,
P07_ORWPE,0,poured
P08_AKHLC,0,hack
P08_ORPWE,1,
P08_OWRNB,1,
P08_UORCT,1,
P09_BOWRN,1,
P09_CKAHL,1,"lack, clack"
P09_EWPRO,1,
P09_OTCUR,1,
P10_CALHK,1,"calck, lack"
P10_CTUOR,1,crout
P10_NBWRO,1,
P10_PWROE,0,"rope, repro, parowe"
P11_BNRWO,1,
P11_CUTOR,1,"cutter, crout, curt, tourque"
P11_HLCAK,1,"hlack, lackh, clack"
P11_PRWOE,1,
P12_KHLCA,1,
P12_ROTUC,1,
P12_RWOEP,1,
P13_KAHLC,1,
P13_OEPWR,1,
P13_ORWBN,1,
P13_OUTCR,1,
P14_KAHLC,1,khalk
P14_OEPWR,1,
P14_ORWBN,1,
P14_OUTCR,1,
P15_LHAKC,0,"latch, clatch"
P15_OEWPR,1,
P15_UCTOR,1,
P15_WRONB,1,
P17_LHKCA,1,"hawk, call"
P17_OBWRN,1,
P17_TORUC,0,croul
P17_WROEP,1,"probe, rope"
P18_CLHAK,1,
P18_TCROU,0,
P18_WBONR,1,
P18_WPROE,1,prowe
P20_CKHLA,1,
P20_EPRWO,1,
P20_OBNRW,1,
P20_TUORC,1,
P21_EORWP,1,
P21_LACKH,0,
P21_ORCTU,0,
P21_WOBNR,0,
P22_HAKCL,1,
P22_NOBWR,1,
P22_OWRPE,1,
P22_RUCTO,1,
P23_CUROT,1,
P23_HKACL,1,
P23_RONBW,1,
P23_WPEOR,1,
P24_EORPW,1,
P24_LHKAC,1,
P24_TCURO,1,
P24_WBNOR,0,
P25_CROUT,1,crout
P25_HLACK,1,
P25_RWBNO,1,
P25_WOEPR,1,
P26_KACLH,1,
P26_RWOBN,1,
P26_TUCRO,1,
P26_WEORP,1,
P27_ALHKC,1,
P27_PEORW,1,
P27_ROUTC,1,
P27_WRNBO,1,
P28_AKCLH,1,
P28_BNORW,1,
P28_OEPRW,0,
P28_UROTC,1,
P29_HLCKA,1,
P29_PEOWR,1,
P29_RCTUO,1,
P29_RNOBW,1,
